customerID;gender;SeniorCitizen;Partner;PhoneService;MultipleLines;InternetService;OnlineSecurity;OnlineBackup;DeviceProtection;Contract;PaperlessBilling;PaymentMethod;MonthlyCharges;TotalCharges;num_orders;avg_order_value;cancel_rating;avg_rating;voucher_usage_rate;loyalty_tier;age;city_zone;inactive_days;Churn_food
0280-XJGEX;Male;0;0;1;1;Fiber optic;0;1;1;Month-to-month;1;Bank transfer (automatic);1037;50363;139;235794;0,29;3,6;0,66;Silver;40;Suburban;23;1
5129-JLPIS;Male;0;0;1;0;Fiber optic;1;0;1;Month-to-month;1;Electronic check;1055;268605;68;218518;0,15;4,7;0,06;Silver;38;Suburban;51;1
3655-SNQYZ;Female;0;1;1;1;Fiber optic;1;1;1;Two year;0;Credit card (automatic);11325;789515;188;199304;0,01;3,7;0,03;Gold;49;Urban;26;0
8191-XWSZG;Female;0;0;1;0;0;No internet service;No internet service;No internet service;One year;0;Mailed check;2065;102295;167;215797;0,05;3,2;0,12;Bronze;34;Suburban;46;1
9959-WOFKT;Male;0;0;1;1;Fiber optic;1;0;1;Two year;0;Bank transfer (automatic);1067;738225;291;168207;0,07;4,3;0,58;Gold;34;Urban;52;1
4190-MFLUW;Female;0;1;1;0;DSL;0;0;1;Month-to-month;0;Credit card (automatic);552;52835;37;153741;0,25;5;0,91;Silver;38;Urban;58;1
4183-MYFRB;Female;0;0;1;0;Fiber optic;0;1;1;Month-to-month;1;Electronic check;9005;18629;66;96365;0,18;3,5;0,91;Gold;21;Suburban;57;1
8779-QRDMV;Male;1;0;0;No phone service;DSL;0;0;1;Month-to-month;1;Electronic check;3965;3965;4;145792;0,27;3,6;0,15;Bronze;40;Urban;10;1
1680-VDCWW;Male;0;1;1;0;0;No internet service;No internet service;No internet service;One year;0;Bank transfer (automatic);198;20225;30;226776;0,07;4,9;0,38;Gold;42;Urban;46;1
1066-JKSGK;Male;0;0;1;0;0;No internet service;No internet service;No internet service;Month-to-month;0;Mailed check;2015;2015;3;130575;0,04;3,4;0,04;Bronze;49;Urban;22;1
3638-WEABW;Female;0;1;1;1;DSL;0;1;0;Two year;1;Credit card (automatic);599;35051;200;240974;0;4;0,47;Gold;23;Rural;21;0
6322-HRPFA;Male;0;1;1;0;DSL;1;1;0;Month-to-month;0;Credit card (automatic);596;29703;187;199641;0,15;3,5;0,75;Silver;31;Suburban;4;0
6865-JZNKO;Female;0;0;1;0;DSL;1;1;0;Month-to-month;1;Bank transfer (automatic);553;15306;154;212267;0,03;4,9;0,79;Silver;33;Urban;47;1
6467-CHFZW;Male;0;1;1;1;Fiber optic;0;1;0;Month-to-month;1;Electronic check;9935;474915;131;133517;0,21;5;0,05;Silver;49;Suburban;33;1
8665-UTDHZ;Male;0;1;0;No phone service;DSL;0;1;0;Month-to-month;0;Electronic check;302;302;4;114012;0,09;4,6;0,01;Bronze;33;Urban;30;1
5248-YGIJN;Male;0;1;1;1;DSL;1;1;1;Two year;1;Credit card (automatic);9025;636945;314;222487;0,26;3,6;0,38;Silver;36;Rural;46;1
8773-HHUOZ;Female;0;0;1;0;DSL;0;0;0;Month-to-month;1;Mailed check;647;10931;37;101686;0,23;3,8;0,93;Bronze;54;Suburban;36;1
3841-NFECX;Female;1;1;1;1;Fiber optic;1;1;1;Two year;1;Credit card (automatic);9635;676695;314;239815;0;3,5;0,23;Silver;38;Urban;46;1
4929-XIHVW;Male;1;1;1;0;Fiber optic;0;0;1;Month-to-month;1;Credit card (automatic);955;18165;5;112161;0,25;4,8;0,32;Gold;32;Suburban;25;1
6827-IEAUQ;Female;0;1;1;0;DSL;1;1;1;One year;0;Mailed check;6615;187445;61;82402;0,09;4,8;0,75;Bronze;43;Suburban;22;0
7310-EGVHZ;Male;0;0;1;0;0;No internet service;No internet service;No internet service;Month-to-month;0;Bank transfer (automatic);202;202;5;143190;0,04;3,8;0,73;Silver;47;Suburban;42;0
3413-BMNZE;Male;1;0;1;0;DSL;0;0;0;Month-to-month;0;Bank transfer (automatic);4525;4525;5;93275;0,07;4,3;0,91;Silver;32;Suburban;37;0
6234-RAAPL;Female;0;1;1;1;Fiber optic;1;1;0;Two year;0;Bank transfer (automatic);999;72517;376;239254;0,14;3,3;0,39;Bronze;30;Urban;37;1
6047-YHPVI;Male;0;0;1;0;Fiber optic;0;0;0;Month-to-month;1;Electronic check;697;3169;16;94915;0,13;3,9;0,51;Platinum;44;Urban;31;0
6572-ADKRS;Female;0;0;1;0;Fiber optic;0;0;1;Month-to-month;1;Credit card (automatic);748;35483;109;80909;0,09;4,3;0,47;Silver;40;Urban;4;0
5380-WJKOV;Male;0;0;1;1;Fiber optic;0;1;1;Month-to-month;1;Electronic check;10635;354925;161;194110;0,05;3,8;0,93;Bronze;51;Urban;24;0
8168-UQWWF;Female;0;0;1;1;Fiber optic;0;0;1;Month-to-month;1;Bank transfer (automatic);9785;11054;41;145908;0,23;3,7;0,77;Bronze;51;Urban;32;1
8865-TNMNX;Male;0;1;1;0;DSL;0;1;0;One year;0;Mailed check;4955;4757;24;207337;0,03;3;0,83;Silver;40;Urban;51;1
9489-DEDVP;Female;0;1;1;1;DSL;1;1;0;Two year;1;Credit card (automatic);692;487235;278;102620;0,23;4,6;0,13;Bronze;37;Urban;6;1
9867-JCZSP;Female;0;1;1;0;0;No internet service;No internet service;No internet service;One year;0;Mailed check;2075;41825;36;114112;0,09;4,8;0,79;Bronze;26;Suburban;15;0
4671-VJLCL;Female;0;0;1;1;DSL;1;1;1;Two year;1;Credit card (automatic);7985;486145;355;82431;0,07;4,9;0,43;Bronze;37;Suburban;48;1
4080-IIARD;Female;0;1;1;1;DSL;1;1;0;Month-to-month;1;Electronic check;762;98145;39;166590;0,07;4,4;0,02;Silver;31;Urban;28;0
3714-NTNFO;Female;0;0;1;1;Fiber optic;0;0;0;Month-to-month;1;Electronic check;845;39067;227;142175;0,04;4,1;0,06;Silver;43;Urban;59;1
5948-UJZLF;Male;0;0;1;0;DSL;0;1;0;Month-to-month;0;Mailed check;4925;970;6;197472;0,17;3,5;0,68;Bronze;44;Urban;58;1
7760-OYPDY;Female;0;0;1;0;Fiber optic;0;0;0;Month-to-month;1;Electronic check;8065;14415;8;112624;0,18;5;0,37;Silver;51;Suburban;14;0
7639-LIAYI;Male;0;0;1;1;DSL;1;0;0;Two year;1;Credit card (automatic);7975;42178;217;141264;0,21;4,2;0,87;Platinum;46;Urban;19;1
2954-PIBKO;Female;0;1;1;1;DSL;1;0;1;Two year;1;Credit card (automatic);6415;42541;189;193766;0,02;4,4;0,73;Platinum;49;Rural;21;0
8012-SOUDQ;Female;1;0;1;1;Fiber optic;0;1;0;Month-to-month;1;Electronic check;9025;383875;252;243030;0,09;4,4;0,02;Gold;22;Suburban;9;0
9420-LOJKX;Female;0;0;1;0;Fiber optic;1;1;0;Month-to-month;1;Credit card (automatic);991;14264;76;212767;0,01;4,7;0,69;Gold;21;Suburban;7;0
6575-SUVOI;Female;1;1;1;1;DSL;1;0;0;Month-to-month;1;Credit card (automatic);695;175265;143;180211;0,02;3;0,19;Bronze;40;Urban;54;1
7495-OOKFY;Female;1;1;1;1;Fiber optic;0;1;0;Month-to-month;1;Credit card (automatic);8065;6333;44;199502;0,01;3,4;0,42;Bronze;38;Urban;31;1
4667-QONEA;Female;1;1;1;0;DSL;1;1;1;One year;1;Credit card (automatic);7485;445635;263;124225;0,06;4,3;0,62;Silver;50;Rural;27;0
1658-BYGOY;Male;1;0;1;1;Fiber optic;0;0;0;Month-to-month;1;Electronic check;9545;175255;102;212475;0,11;4,8;0,87;Silver;41;Urban;8;0
8769-KKTPH;Female;0;1;1;1;Fiber optic;1;0;0;One year;1;Credit card (automatic);9965;63112;148;249708;0,08;4,4;0,46;Gold;33;Urban;30;0
5067-XJQFU;Male;1;1;1;1;Fiber optic;0;1;1;One year;1;Electronic check;10845;707635;183;90839;0,03;3,8;0,81;Bronze;49;Urban;22;0
3957-SQXML;Female;0;1;1;1;0;No internet service;No internet service;No internet service;Two year;0;Credit card (automatic);2495;8943;74;220302;0,25;3,7;0,78;Silver;36;Urban;18;1
5954-BDFSG;Female;0;0;1;1;Fiber optic;0;0;1;Two year;1;Credit card (automatic);1075;78537;237;131977;0,26;4,5;0,41;Silver;43;Suburban;31;1
0434-CSFON;Female;0;1;1;1;Fiber optic;0;0;1;Month-to-month;1;Electronic check;1005;47071;167;193050;0,07;4,5;0,05;Silver;20;Urban;9;0
1215-FIGMP;Male;0;0;1;1;Fiber optic;0;1;0;Month-to-month;1;Bank transfer (automatic);899;54507;185;105651;0,02;4,2;0,07;Silver;52;Suburban;19;0
0526-SXDJP;Male;0;1;0;No phone service;DSL;1;1;1;Two year;0;Bank transfer (automatic);421;29620;382;177919;0,22;3,6;0,03;Bronze;35;Suburban;34;1
0557-ASKVU;Female;0;1;1;0;DSL;0;0;1;One year;1;Credit card (automatic);544;9571;61;119963;0,06;4,9;0,89;Platinum;24;Urban;56;1
5698-BQJOH;Female;0;0;1;1;Fiber optic;0;0;0;Month-to-month;0;Electronic check;944;85725;28;197776;0,12;4,1;0,77;Silver;49;Suburban;30;0
5122-CYFXA;Female;0;0;1;0;DSL;0;1;0;Month-to-month;1;Electronic check;753;2441;12;159198;0,02;4,6;0,25;Silver;41;Rural;10;0
8627-ZYGSZ;Male;0;1;1;1;Fiber optic;0;1;0;One year;1;Electronic check;789;365035;120;224811;0,07;3,4;0,98;Bronze;33;Rural;42;1
3410-YOQBQ;Female;0;0;1;0;DSL;0;1;1;Two year;0;Mailed check;792;24972;161;210697;0,24;3,7;0,18;Silver;41;Suburban;39;1
3170-NMYVV;Female;0;1;1;0;0;No internet service;No internet service;No internet service;Two year;0;Bank transfer (automatic);2015;9309;114;143294;0,24;4,7;0,91;Bronze;21;Urban;9;1
7410-OIEDU;Male;0;0;1;0;Fiber optic;1;0;1;Month-to-month;1;Mailed check;7985;88735;59;81789;0,06;3,1;0,32;Bronze;49;Urban;8;1
2273-QCKXA;Male;0;0;1;0;DSL;0;0;0;Month-to-month;0;Mailed check;4905;4905;5;230492;0,01;4;0,76;Bronze;51;Urban;41;0
0731-EBJQB;Female;0;1;1;0;0;No internet service;No internet service;No internet service;One year;1;Electronic check;204;109065;145;169297;0,04;4;0,46;Bronze;36;Urban;9;0
1891-QRQSA;Male;1;1;1;1;Fiber optic;1;0;1;Two year;1;Bank transfer (automatic);1116;70990;129;248678;0,02;4,5;0,74;Silver;31;Urban;49;1
8028-PNXHQ;Male;0;1;1;1;0;No internet service;No internet service;No internet service;Two year;1;Bank transfer (automatic);2425;14246;326;249712;0,03;3,6;0,16;Bronze;30;Urban;36;1
5630-AHZIL;Female;0;0;1;0;DSL;1;0;0;Month-to-month;1;Bank transfer (automatic);645;1774;14;198341;0,02;3,4;0,27;Gold;39;Urban;36;1
2673-CXQEU;Female;1;0;1;1;Fiber optic;1;1;1;One year;0;Electronic check;1105;61395;275;124135;0,16;4,9;0,01;Bronze;48;Urban;6;0
6416-JNVRK;Female;0;0;1;0;DSL;0;0;0;One year;0;Credit card (automatic);5565;268885;233;117067;0,23;4,1;0,87;Bronze;47;Urban;19;1
5590-ZSKRV;Female;0;1;1;0;DSL;1;1;0;Month-to-month;0;Mailed check;5465;48225;18;97357;0,25;3,2;0,03;Gold;40;Urban;19;1
0191-ZHSKZ;Male;1;0;1;0;DSL;1;1;0;Month-to-month;1;Electronic check;7475;21113;103;118262;0,24;3,4;0,69;Bronze;29;Suburban;7;1
3887-PBQAO;Female;0;1;1;1;0;No internet service;No internet service;No internet service;One year;1;Credit card (automatic);259;12166;110;138643;0;5;0,82;Bronze;31;Urban;16;0
5919-TMRGD;Female;0;0;1;0;Fiber optic;0;0;0;Month-to-month;1;Electronic check;7935;7935;5;232606;0,06;3,4;0,09;Bronze;53;Suburban;37;1
8108-UXRQN;Female;0;1;0;No phone service;DSL;1;0;0;Month-to-month;0;Electronic check;5055;56535;49;171270;0,02;4,2;0,11;Gold;25;Suburban;24;0
9191-MYQKX;Female;0;1;1;0;Fiber optic;0;0;1;Month-to-month;1;Bank transfer (automatic);7515;4969;23;243944;0,11;3,8;0,89;Gold;41;Urban;12;0
9919-YLNNG;Female;0;0;1;0;Fiber optic;0;1;1;Month-to-month;1;Bank transfer (automatic);1038;43275;94;218761;0,29;4,8;0,02;Bronze;20;Rural;44;1
0318-ZOPWS;Female;0;1;1;0;0;No internet service;No internet service;No internet service;Two year;1;Bank transfer (automatic);2015;97335;158;149103;0,02;4,5;0,74;Silver;31;Suburban;12;0
4445-ZJNMU;Male;0;0;1;1;Fiber optic;0;1;0;Month-to-month;1;Credit card (automatic);993;91875;29;166268;0,29;4,2;0,73;Silver;28;Urban;47;1
4808-YNLEU;Female;0;1;1;0;DSL;1;0;0;One year;1;Bank transfer (automatic);6215;221545;172;166310;0,06;3;0,01;Platinum;45;Urban;1;1
1862-QRWPE;Female;0;1;1;0;0;No internet service;No internet service;No internet service;Two year;0;Bank transfer (automatic);2065;10570;218;117412;0,26;4,8;0,22;Bronze;40;Suburban;36;1
2796-NNUFI;Female;0;1;1;0;0;No internet service;No internet service;No internet service;Two year;1;Mailed check;1995;9271;255;127734;0,01;3,9;0,49;Gold;35;Urban;41;0
3016-KSVCP;Male;0;1;0;No phone service;DSL;0;0;0;Month-to-month;0;Mailed check;3375;100925;112;167793;0,03;4,9;0,42;Bronze;37;Urban;41;1
4767-HZZHQ;Male;0;1;1;0;Fiber optic;0;1;1;Month-to-month;0;Bank transfer (automatic);8205;25702;74;102228;0,05;4;0,92;Bronze;50;Rural;56;1
2424-WVHPL;Male;1;0;1;0;Fiber optic;0;0;0;Month-to-month;0;Electronic check;747;747;4;200627;0,15;4,4;0,36;Bronze;19;Suburban;10;1
7233-PAHHL;Male;0;1;1;1;DSL;1;0;1;Two year;1;Mailed check;840;571425;332;157924;0,24;3,1;0,94;Gold;54;Suburban;59;1
6067-NGCEU;Female;0;0;1;1;Fiber optic;1;1;1;Month-to-month;1;Credit card (automatic);11105;71070;275;91319;0,13;4,5;0,46;Silver;43;Suburban;19;0
9848-JQJTX;Male;0;0;1;1;Fiber optic;0;1;1;Two year;1;Bank transfer (automatic);1009;745905;366;86475;0,14;3,7;0,96;Silver;19;Suburban;56;1
8637-XJIVR;Female;0;0;1;1;Fiber optic;1;0;0;Month-to-month;1;Electronic check;7895;92735;47;225800;0,03;3,7;0,74;Silver;20;Urban;55;1
9803-FTJCG;Male;0;1;1;1;DSL;1;1;0;One year;1;Credit card (automatic);6685;47487;290;109545;0,13;3,2;0,83;Silver;37;Urban;8;1
0278-YXOOG;Male;0;0;1;0;0;No internet service;No internet service;No internet service;Month-to-month;0;Mailed check;2105;11385;18;176636;0,18;3,3;0,01;Gold;27;Suburban;44;1
3212-KXOCR;Male;0;0;1;0;0;No internet service;No internet service;No internet service;Two year;0;Bank transfer (automatic);210;11072;109;249771;0,02;3,4;0,59;Bronze;38;Urban;44;1
4598-XLKNJ;Female;1;1;1;0;Fiber optic;0;1;1;Month-to-month;1;Electronic check;985;25145;60;247893;0,25;3,7;0,14;Silver;26;Urban;28;1
6380-ARCEH;Male;0;0;1;0;0;No internet service;No internet service;No internet service;Month-to-month;0;Mailed check;202;202;2;110615;0,19;4,8;0,03;Bronze;19;Urban;33;1
3679-XASPY;Female;0;1;1;0;0;No internet service;No internet service;No internet service;Month-to-month;0;Electronic check;1945;1945;4;93746;0,12;3,7;0,62;Silver;45;Urban;57;1
7123-WQUHX;Male;0;0;1;1;Fiber optic;0;0;1;One year;0;Bank transfer (automatic);950;36056;123;233817;0;4,4;0,73;Gold;20;Urban;4;0
5386-THSLQ;Female;1;1;0;No phone service;DSL;0;1;1;One year;0;Bank transfer (automatic);4555;302725;266;81245;0,18;3,2;0,04;Silver;33;Suburban;30;1
3192-NQECA;Male;0;1;1;1;Fiber optic;0;1;1;Two year;1;Bank transfer (automatic);1100;761185;382;197408;0;4,2;0,53;Gold;21;Suburban;25;0
6180-YBIQI;Male;0;0;0;No phone service;DSL;0;0;0;Month-to-month;0;Mailed check;243;1002;14;192143;0;4;0,57;Bronze;40;Urban;56;1
6728-DKUCO;Female;0;1;1;1;Fiber optic;1;1;0;One year;1;Electronic check;10415;730305;262;235925;0,18;5;0,08;Silver;47;Suburban;36;0
9750-BOOHV;Female;0;0;0;No phone service;DSL;1;0;0;One year;0;Mailed check;3015;92765;160;107632;0,06;4,7;0,05;Bronze;30;Suburban;43;0
8597-CWYHH;Male;0;0;1;1;Fiber optic;0;0;0;One year;0;Mailed check;9435;39213;125;92856;0,06;3,9;0,71;Platinum;23;Urban;19;0
2848-YXSMW;Male;0;1;1;0;0;No internet service;No internet service;No internet service;Two year;0;Credit card (automatic);194;136325;166;148049;0,02;4,6;0,05;Bronze;27;Urban;7;0
0486-HECZI;Male;0;1;1;1;Fiber optic;1;1;0;Month-to-month;1;Electronic check;9675;52389;173;138182;0,02;3,4;0,76;Silver;34;Urban;5;1
4549-ZDQYY;Female;0;0;1;0;DSL;1;0;1;One year;0;Credit card (automatic);5795;304225;137;213873;0,09;4,1;0,58;Gold;25;Suburban;17;0
5712-AHQNN;Female;0;0;1;0;Fiber optic;0;1;1;Month-to-month;1;Electronic check;9165;39541;245;135654;0,04;3,1;0,83;Platinum;26;Urban;7;1
4846-WHAFZ;Female;1;1;1;1;Fiber optic;0;0;0;Month-to-month;1;Electronic check;765;286815;193;135381;0,17;3,7;0,22;Silver;51;Urban;59;1
5256-SKJGO;Female;0;1;0;No phone service;DSL;0;1;0;Two year;1;Electronic check;546;34235;290;138601;0,02;3,5;0,83;Bronze;34;Urban;52;1
3071-VBYPO;Male;0;1;1;0;Fiber optic;1;1;0;Month-to-month;0;Electronic check;8985;2484;16;226154;0,22;4,4;0,09;Silver;39;Rural;54;1
9560-BBZXK;Female;0;0;0;No phone service;DSL;1;0;0;Two year;0;Bank transfer (automatic);3105;112635;187;225720;0,08;4;0,04;Bronze;20;Suburban;51;1
5299-RULOA;Female;0;1;1;1;Fiber optic;1;0;0;Month-to-month;1;Electronic check;10025;106465;27;80364;0,03;4,5;0,02;Silver;46;Urban;24;0
8402-OOOHJ;Female;0;0;1;0;0;No internet service;No internet service;No internet service;Two year;0;Mailed check;2065;83515;228;245640;0,02;4;0,88;Platinum;44;Rural;1;0
9445-ZUEQE;Male;0;1;1;1;Fiber optic;0;1;0;Month-to-month;1;Credit card (automatic);852;21516;112;87436;0,13;3,2;0,07;Bronze;54;Urban;27;1
1091-SOZGA;Female;0;1;1;1;Fiber optic;0;0;1;One year;1;Credit card (automatic);998;551545;292;166713;0,28;4,5;0,03;Silver;20;Suburban;41;1
2928-HLDBA;Female;0;0;1;0;0;No internet service;No internet service;No internet service;Month-to-month;0;Mailed check;207;11275;33;237826;0,07;4,7;0,01;Gold;36;Urban;24;0
0404-SWRVG;Male;0;0;1;1;Fiber optic;0;0;0;Month-to-month;1;Electronic check;744;22955;9;140194;0,08;4,8;0,29;Bronze;51;Urban;19;0
6497-TILVL;Female;0;1;1;0;DSL;1;0;0;Month-to-month;0;Mailed check;507;35035;17;104544;0,03;4,1;0,14;Silver;31;Suburban;5;0
7219-TLZHO;Female;0;1;1;0;0;No internet service;No internet service;No internet service;Month-to-month;0;Mailed check;2085;629;11;143295;0,18;4,5;0,63;Gold;38;Suburban;36;0
4622-YNKIJ;Male;0;0;1;0;Fiber optic;1;0;0;Two year;1;Electronic check;8895;302765;122;223710;0,02;4,5;0,66;Platinum;19;Urban;15;0
4412-YLTKF;Female;1;0;1;1;Fiber optic;0;0;1;Month-to-month;1;Electronic check;7805;21355;142;149409;0,19;3,3;0,94;Silver;27;Urban;34;1
6734-PSBAW;Male;0;1;1;1;0;No internet service;No internet service;No internet service;Two year;1;Bank transfer (automatic);2355;172395;391;206839;0,26;3,3;0,95;Bronze;34;Urban;54;1
3930-ZGWVE;Male;0;0;1;0;0;No internet service;No internet service;No internet service;Month-to-month;0;Mailed check;1975;1975;2;193759;0,15;3,1;0,66;Bronze;19;Suburban;35;1
2639-UGMAZ;Male;1;0;0;No phone service;DSL;1;1;0;One year;1;Electronic check;5645;398535;287;97157;0,04;3,6;0,01;Silver;44;Urban;0;0
2876-GZYZC;Female;0;0;1;1;Fiber optic;0;0;0;Month-to-month;1;Electronic check;8595;121565;47;145888;0,09;3,9;0,36;Bronze;18;Suburban;13;0
6207-WIOLX;Female;0;1;0;No phone service;DSL;1;1;1;Month-to-month;1;Credit card (automatic);586;150265;72;144947;0,02;5;0,51;Bronze;53;Suburban;13;0
8587-XYZSF;Male;0;0;1;0;DSL;0;0;0;Two year;0;Bank transfer (automatic);5055;32601;166;150880;0,18;3,9;0,05;Gold;50;Urban;23;0
3091-FYHKI;Male;0;0;0;No phone service;DSL;0;0;0;Month-to-month;1;Electronic check;3545;3545;3;84507;0,16;4,5;0,06;Gold;39;Suburban;18;1
2372-HWUHI;Male;0;0;1;0;DSL;0;0;0;Month-to-month;0;Electronic check;4435;8125;11;183134;0,02;4,4;0,96;Gold;52;Urban;37;0
7799-LGRDP;Female;0;0;1;1;0;No internet service;No internet service;No internet service;Two year;1;Credit card (automatic);257;11882;141;123988;0,19;3,4;0,89;Bronze;51;Suburban;43;1
7850-VWJUU;Female;0;0;1;0;Fiber optic;1;0;0;Month-to-month;1;Bank transfer (automatic);750;17785;93;178421;0,26;3,1;0,11;Bronze;35;Suburban;17;1
3774-VBNXY;Female;0;1;1;0;0;No internet service;No internet service;No internet service;Two year;0;Mailed check;202;127775;307;227937;0,18;4,1;0,27;Gold;53;Urban;8;0
6217-KDYWC;Male;0;0;1;0;0;No internet service;No internet service;No internet service;Two year;1;Mailed check;196;117055;196;182591;0,23;4,4;0,83;Gold;20;Urban;51;1
0390-DCFDQ;Female;1;1;1;0;Fiber optic;0;0;0;Month-to-month;1;Mailed check;7045;7045;5;209614;0,07;5;0,82;Gold;33;Rural;54;1
3146-MSEGF;Female;1;1;1;1;DSL;1;1;1;Two year;1;Credit card (automatic);8805;642565;421;107213;0,02;3,7;0,28;Platinum;28;Urban;56;1
4080-OGPJL;Female;0;0;1;1;DSL;1;0;0;Month-to-month;0;Electronic check;7115;56365;24;137450;0,27;4,8;0,73;Gold;27;Urban;12;1
1095-WGNGG;Female;0;1;1;1;Fiber optic;0;1;0;Two year;1;Bank transfer (automatic);10105;597125;243;215549;0,12;3,8;0,67;Silver;38;Urban;58;1
2636-SJDOU;Male;0;0;1;1;Fiber optic;1;1;0;One year;1;Credit card (automatic);843;528905;205;142222;0,23;4,4;0,47;Bronze;42;Urban;50;1
1131-QQZEB;Male;1;1;1;1;0;No internet service;No internet service;No internet service;Two year;0;Bank transfer (automatic);2395;17562;222;217605;0,22;4,2;0,02;Silver;52;Urban;44;1
5716-EZXZN;Female;0;1;1;1;Fiber optic;1;1;0;Two year;1;Credit card (automatic);9905;64167;139;234468;0,02;3,1;0,89;Silver;23;Urban;50;1
6837-BJYDQ;Male;0;0;1;0;0;No internet service;No internet service;No internet service;One year;0;Mailed check;196;6135;13;92755;0,17;3,2;0,68;Bronze;25;Urban;18;1
2135-RXIHG;Male;0;0;1;0;DSL;0;0;0;Month-to-month;1;Electronic check;4565;4565;4;211937;0,04;3;0,17;Gold;51;Suburban;52;1
6440-DKQGE;Male;0;0;1;0;DSL;0;1;1;One year;0;Credit card (automatic);645;192995;66;222245;0,29;3,7;0,07;Bronze;18;Urban;9;1
3466-BYAVD;Male;0;1;1;0;DSL;0;1;1;Month-to-month;1;Mailed check;695;10714;46;249169;0,24;4,5;0,74;Gold;20;Urban;37;1
3780-YVMFA;Female;0;1;1;0;DSL;0;0;0;Month-to-month;1;Electronic check;6855;56435;45;113371;0,03;3,3;0,89;Bronze;44;Urban;2;1
3874-EQOEP;Male;0;0;1;1;Fiber optic;0;0;0;Month-to-month;0;Mailed check;950;6555;20;222326;0,04;4,2;0,22;Silver;30;Urban;57;1
1679-JRFBR;Female;0;1;1;1;Fiber optic;1;1;1;One year;1;Credit card (automatic);10815;793055;180;215090;0,18;3,6;0,99;Gold;36;Urban;47;1
9073-ZZIAY;Male;0;1;1;0;DSL;1;1;1;Two year;0;Electronic check;861;521525;245;85192;0,01;4,6;0,15;Bronze;36;Urban;40;0
3077-RSNTJ;Female;0;1;1;0;0;No internet service;No internet service;No internet service;Month-to-month;0;Mailed check;197;1135;35;82015;0,01;4,6;0,06;Silver;23;Urban;16;0
6551-GNYDG;Female;0;1;1;0;Fiber optic;0;0;0;Month-to-month;1;Bank transfer (automatic);809;11528;41;188154;0,16;4,6;0,66;Bronze;31;Urban;22;0
9167-APMXZ;Female;0;0;1;1;Fiber optic;0;0;0;Month-to-month;1;Bank transfer (automatic);8415;182195;103;108343;0,12;4;0,42;Gold;22;Suburban;26;0
2749-CTKAJ;Male;0;1;1;0;0;No internet service;No internet service;No internet service;One year;0;Mailed check;2015;4199;111;149306;0,03;3,6;0,48;Gold;53;Rural;8;0
6371-NZYEG;Male;0;1;1;0;DSL;1;0;1;Two year;0;Mailed check;6425;10240;47;85829;0,24;4,6;0,89;Platinum;26;Urban;4;1
7554-NEWDD;Male;0;0;1;1;0;No internet service;No internet service;No internet service;Two year;0;Bank transfer (automatic);257;2516;49;114381;0,27;3,4;0,65;Gold;40;Suburban;18;1
