customerID;gender;SeniorCitizen;Partner;Dependents;tenure;PhoneService;MultipleLines;InternetService;OnlineSecurity;OnlineBackup;DeviceProtection;TechSupport;StreamingTV;StreamingMovies;Contract;PaperlessBilling;PaymentMethod;MonthlyCharges;TotalCharges;Churn;num_orders;avg_order_value;cancel_rate;avg_rating;voucher_usage_rate;loyalty_tier;age;city_zone;inactive_days;Churn_food
1658-BYGOY;Male;1;0;0;18;1;1;Fiber optic;0;0;0;0;1;1;Month-to-month;1;Electronic check;9545;175255;1;102;212475;11;48;87;Silver;41;Urban;8;0
8769-KKTPH;Female;0;1;1;63;1;1;Fiber optic;1;0;0;0;1;1;One year;1;Credit card (automatic);9965;63112;0;148;249708;8;44;46;Gold;33;Urban;30;0
5067-XJQFU;Male;1;1;1;66;1;1;Fiber optic;0;1;1;1;1;1;One year;1;Electronic check;10845;707635;0;183;90839;3;38;81;Bronze;49;Urban;22;0
3957-SQXML;Female;0;1;1;34;1;1;0;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;0;Credit card (automatic);2495;8943;0;74;220302;25;37;78;Silver;36;Urban;18;1
5954-BDFSG;Female;0;0;0;72;1;1;Fiber optic;0;0;1;1;1;1;Two year;1;Credit card (automatic);1075;78537;0;237;131977;26;45;41;Silver;43;Suburban;31;1
0434-CSFON;Female;0;1;0;47;1;1;Fiber optic;0;0;1;0;1;1;Month-to-month;1;Electronic check;1005;47071;0;167;193050;7;45;5;Silver;20;Urban;9;0
1215-FIGMP;Male;0;0;0;60;1;1;Fiber optic;0;1;0;0;1;0;Month-to-month;1;Bank transfer (automatic);899;54507;0;185;105651;2;42;7;Silver;52;Suburban;19;0
0526-SXDJP;Male;0;1;0;72;0;No phone service;DSL;1;1;1;0;0;0;Two year;0;Bank transfer (automatic);421;29620;0;382;177919;22;36;3;Bronze;35;Suburban;34;1
0557-ASKVU;Female;0;1;1;18;1;0;DSL;0;0;1;1;0;0;One year;1;Credit card (automatic);544;9571;0;61;119963;6;49;89;Platinum;24;Urban;56;1
5698-BQJOH;Female;0;0;0;9;1;1;Fiber optic;0;0;0;0;1;1;Month-to-month;0;Electronic check;944;85725;1;28;197776;12;41;77;Silver;49;Suburban;30;0
5122-CYFXA;Female;0;0;0;3;1;0;DSL;0;1;0;1;1;1;Month-to-month;1;Electronic check;753;2441;0;12;159198;2;46;25;Silver;41;Rural;10;0
8627-ZYGSZ;Male;0;1;0;47;1;1;Fiber optic;0;1;0;0;0;0;One year;1;Electronic check;789;365035;0;120;224811;7;34;98;Bronze;33;Rural;42;1
3410-YOQBQ;Female;0;0;0;31;1;0;DSL;0;1;1;1;1;1;Two year;0;Mailed check;792;24972;0;161;210697;24;37;18;Silver;41;Suburban;39;1
3170-NMYVV;Female;0;1;1;50;1;0;0;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;0;Bank transfer (automatic);2015;9309;0;114;143294;24;47;91;Bronze;21;Urban;9;1
7410-OIEDU;Male;0;0;0;10;1;0;Fiber optic;1;0;1;0;0;0;Month-to-month;1;Mailed check;7985;88735;0;59;81789;6;31;32;Bronze;49;Urban;8;1
2273-QCKXA;Male;0;0;0;1;1;0;DSL;0;0;0;1;0;0;Month-to-month;0;Mailed check;4905;4905;0;5;230492;1;40;76;Bronze;51;Urban;41;0
0731-EBJQB;Female;0;1;1;52;1;0;0;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;1;Electronic check;204;109065;0;145;169297;4;40;46;Bronze;36;Urban;9;0
1891-QRQSA;Male;1;1;1;64;1;1;Fiber optic;1;0;1;1;1;1;Two year;1;Bank transfer (automatic);1116;70990;0;129;248678;2;45;74;Silver;31;Urban;49;1
8028-PNXHQ;Male;0;1;1;62;1;1;0;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;1;Bank transfer (automatic);2425;14246;0;326;249712;3;36;16;Bronze;30;Urban;36;1
5630-AHZIL;Female;0;0;1;3;1;0;DSL;1;0;0;1;0;1;Month-to-month;1;Bank transfer (automatic);645;1774;0;14;198341;2;34;27;Gold;39;Urban;36;1
2673-CXQEU;Female;1;0;0;56;1;1;Fiber optic;1;1;1;0;1;1;One year;0;Electronic check;1105;61395;0;275;124135;16;49;1;Bronze;48;Urban;6;0
6416-JNVRK;Female;0;0;0;46;1;0;DSL;0;0;0;0;0;1;One year;0;Credit card (automatic);5565;268885;0;233;117067;23;41;87;Bronze;47;Urban;19;1
5590-ZSKRV;Female;0;1;1;8;1;0;DSL;1;1;0;0;0;0;Month-to-month;0;Mailed check;5465;48225;0;18;97357;25;32;3;Gold;40;Urban;19;1
0191-ZHSKZ;Male;1;0;0;30;1;0;DSL;1;1;0;0;1;1;Month-to-month;1;Electronic check;7475;21113;0;103;118262;24;34;69;Bronze;29;Suburban;7;1
3887-PBQAO;Female;0;1;1;45;1;1;0;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;1;Credit card (automatic);259;12166;0;110;138643;0;50;82;Bronze;31;Urban;16;0
5919-TMRGD;Female;0;0;1;1;1;0;Fiber optic;0;0;0;0;1;0;Month-to-month;1;Electronic check;7935;7935;1;5;232606;6;34;9;Bronze;53;Suburban;37;1
8108-UXRQN;Female;0;1;1;11;0;No phone service;DSL;1;0;0;0;1;1;Month-to-month;0;Electronic check;5055;56535;0;49;171270;2;42;11;Gold;25;Suburban;24;0
9191-MYQKX;Female;0;1;0;7;1;0;Fiber optic;0;0;1;0;0;0;Month-to-month;1;Bank transfer (automatic);7515;4969;1;23;243944;11;38;89;Gold;41;Urban;12;0
9919-YLNNG;Female;0;0;0;42;1;0;Fiber optic;0;1;1;1;1;1;Month-to-month;1;Bank transfer (automatic);1038;43275;0;94;218761;29;48;2;Bronze;20;Rural;44;1
0318-ZOPWS;Female;0;1;0;49;1;0;0;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;1;Bank transfer (automatic);2015;97335;0;158;149103;2;45;74;Silver;31;Suburban;12;0
4445-ZJNMU;Male;0;0;0;9;1;1;Fiber optic;0;1;0;0;1;1;Month-to-month;1;Credit card (automatic);993;91875;0;29;166268;29;42;73;Silver;28;Urban;47;1
4808-YNLEU;Female;0;1;0;35;1;0;DSL;1;0;0;0;1;0;One year;1;Bank transfer (automatic);6215;221545;0;172;166310;6;30;1;Platinum;45;Urban;1;1
1862-QRWPE;Female;0;1;1;48;1;0;0;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;0;Bank transfer (automatic);2065;10570;0;218;117412;26;48;22;Bronze;40;Suburban;36;1
2796-NNUFI;Female;0;1;1;46;1;0;0;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;1;Mailed check;1995;9271;0;255;127734;1;39;49;Gold;35;Urban;41;0
3016-KSVCP;Male;0;1;0;29;0;No phone service;DSL;0;0;0;0;1;0;Month-to-month;0;Mailed check;3375;100925;0;112;167793;3;49;42;Bronze;37;Urban;41;1
4767-HZZHQ;Male;0;1;1;30;1;0;Fiber optic;0;1;1;0;0;0;Month-to-month;0;Bank transfer (automatic);8205;25702;0;74;102228;5;40;92;Bronze;50;Rural;56;1
2424-WVHPL;Male;1;0;0;1;1;0;Fiber optic;0;0;0;1;0;0;Month-to-month;0;Electronic check;747;747;0;4;200627;15;44;36;Bronze;19;Suburban;10;1
7233-PAHHL;Male;0;1;1;66;1;1;DSL;1;0;1;1;1;1;Two year;1;Mailed check;840;571425;0;332;157924;24;31;94;Gold;54;Suburban;59;1
6067-NGCEU;Female;0;0;0;65;1;1;Fiber optic;1;1;1;0;1;1;Month-to-month;1;Credit card (automatic);11105;71070;0;275;91319;13;45;46;Silver;43;Suburban;19;0
9848-JQJTX;Male;0;0;0;72;1;1;Fiber optic;0;1;1;0;1;1;Two year;1;Bank transfer (automatic);1009;745905;0;366;86475;14;37;96;Silver;19;Suburban;56;1
8637-XJIVR;Female;0;0;0;12;1;1;Fiber optic;1;0;0;0;0;0;Month-to-month;1;Electronic check;7895;92735;1;47;225800;3;37;74;Silver;20;Urban;55;1
9803-FTJCG;Male;0;1;1;71;1;1;DSL;1;1;0;1;0;0;One year;1;Credit card (automatic);6685;47487;0;290;109545;13;32;83;Silver;37;Urban;8;1
0278-YXOOG;Male;0;0;0;5;1;0;0;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;0;Mailed check;2105;11385;1;18;176636;18;33;1;Gold;27;Suburban;44;1
3212-KXOCR;Male;0;0;0;52;1;0;0;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;0;Bank transfer (automatic);210;11072;0;109;249771;2;34;59;Bronze;38;Urban;44;1
4598-XLKNJ;Female;1;1;0;25;1;0;Fiber optic;0;1;1;0;1;1;Month-to-month;1;Electronic check;985;25145;1;60;247893;25;37;14;Silver;26;Urban;28;1
6380-ARCEH;Male;0;0;0;1;1;0;0;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;0;Mailed check;202;202;0;2;110615;19;48;3;Bronze;19;Urban;33;1
3679-XASPY;Female;0;1;1;1;1;0;0;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;0;Electronic check;1945;1945;0;4;93746;12;37;62;Silver;45;Urban;57;1
7123-WQUHX;Male;0;0;0;38;1;1;Fiber optic;0;0;1;1;1;0;One year;0;Bank transfer (automatic);950;36056;0;123;233817;0;44;73;Gold;20;Urban;4;0
5386-THSLQ;Female;1;1;0;66;0;No phone service;DSL;0;1;1;0;1;0;One year;0;Bank transfer (automatic);4555;302725;0;266;81245;18;32;4;Silver;33;Suburban;30;1
3192-NQECA;Male;0;1;0;68;1;1;Fiber optic;0;1;1;1;1;1;Two year;1;Bank transfer (automatic);1100;761185;1;382;197408;0;42;53;Gold;21;Suburban;25;0
6180-YBIQI;Male;0;0;0;5;0;No phone service;DSL;0;0;0;0;0;0;Month-to-month;0;Mailed check;243;1002;0;14;192143;0;40;57;Bronze;40;Urban;56;1
6728-DKUCO;Female;0;1;1;72;1;1;Fiber optic;1;1;0;0;1;1;One year;1;Electronic check;10415;730305;0;262;235925;18;50;8;Silver;47;Suburban;36;0
9750-BOOHV;Female;0;0;0;32;0;No phone service;DSL;1;0;0;0;0;0;One year;0;Mailed check;3015;92765;0;160;107632;6;47;5;Bronze;30;Suburban;43;0
8597-CWYHH;Male;0;0;0;43;1;1;Fiber optic;0;0;0;0;1;1;One year;0;Mailed check;9435;39213;0;125;92856;6;39;71;Platinum;23;Urban;19;0
2848-YXSMW;Male;0;1;1;72;1;0;0;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;0;Credit card (automatic);194;136325;0;166;148049;2;46;5;Bronze;27;Urban;7;0
0486-HECZI;Male;0;1;0;55;1;1;Fiber optic;1;1;0;0;1;0;Month-to-month;1;Electronic check;9675;52389;1;173;138182;2;34;76;Silver;34;Urban;5;1
4549-ZDQYY;Female;0;0;0;52;1;0;DSL;1;0;1;1;0;0;One year;0;Credit card (automatic);5795;304225;0;137;213873;9;41;58;Gold;25;Suburban;17;0
5712-AHQNN;Female;0;0;0;43;1;0;Fiber optic;0;1;1;0;1;0;Month-to-month;1;Electronic check;9165;39541;0;245;135654;4;31;83;Platinum;26;Urban;7;1
4846-WHAFZ;Female;1;1;0;37;1;1;Fiber optic;0;0;0;0;0;0;Month-to-month;1;Electronic check;765;286815;1;193;135381;17;37;22;Silver;51;Urban;59;1
5256-SKJGO;Female;0;1;1;64;0;No phone service;DSL;0;1;0;1;1;1;Two year;1;Electronic check;546;34235;0;290;138601;2;35;83;Bronze;34;Urban;52;1
3071-VBYPO;Male;0;1;1;3;1;0;Fiber optic;1;1;0;0;1;0;Month-to-month;0;Electronic check;8985;2484;0;16;226154;22;44;9;Silver;39;Rural;54;1
9560-BBZXK;Female;0;0;0;36;0;No phone service;DSL;1;0;0;0;0;0;Two year;0;Bank transfer (automatic);3105;112635;0;187;225720;8;40;4;Bronze;20;Suburban;51;1
5299-RULOA;Female;0;1;1;10;1;1;Fiber optic;1;0;0;0;1;1;Month-to-month;1;Electronic check;10025;106465;1;27;80364;3;45;2;Silver;46;Urban;24;0
8402-OOOHJ;Female;0;0;0;41;1;0;0;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;0;Mailed check;2065;83515;0;228;245640;2;40;88;Platinum;44;Rural;1;0
9445-ZUEQE;Male;0;1;1;27;1;1;Fiber optic;0;1;0;1;0;0;Month-to-month;1;Credit card (automatic);852;21516;0;112;87436;13;32;7;Bronze;54;Urban;27;1
1091-SOZGA;Female;0;1;1;56;1;1;Fiber optic;0;0;1;0;1;1;One year;1;Credit card (automatic);998;551545;0;292;166713;28;45;3;Silver;20;Suburban;41;1
2928-HLDBA;Female;0;0;0;6;1;0;0;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;0;Mailed check;207;11275;0;33;237826;7;47;1;Gold;36;Urban;24;0
0404-SWRVG;Male;0;0;0;3;1;1;Fiber optic;0;0;0;0;0;0;Month-to-month;1;Electronic check;744;22955;1;9;140194;8;48;29;Bronze;51;Urban;19;0
6497-TILVL;Female;0;1;1;7;1;0;DSL;1;0;0;0;0;0;Month-to-month;0;Mailed check;507;35035;0;17;104544;3;41;14;Silver;31;Suburban;5;0
7219-TLZHO;Female;0;1;1;4;1;0;0;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;0;Mailed check;2085;629;0;11;143295;18;45;63;Gold;38;Suburban;36;0
4622-YNKIJ;Male;0;0;0;33;1;0;Fiber optic;1;0;0;1;1;0;Two year;1;Electronic check;8895;302765;0;122;223710;2;45;66;Platinum;19;Urban;15;0
4412-YLTKF;Female;1;0;0;27;1;1;Fiber optic;0;0;1;0;0;0;Month-to-month;1;Electronic check;7805;21355;1;142;149409;19;33;94;Silver;27;Urban;34;1
6734-PSBAW;Male;0;1;0;72;1;1;0;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;1;Bank transfer (automatic);2355;172395;0;391;206839;26;33;95;Bronze;34;Urban;54;1
3930-ZGWVE;Male;0;0;0;1;1;0;0;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;0;Mailed check;1975;1975;0;2;193759;15;31;66;Bronze;19;Suburban;35;1
2639-UGMAZ;Male;1;0;0;71;0;No phone service;DSL;1;1;0;0;1;1;One year;1;Electronic check;5645;398535;0;287;97157;4;36;1;Silver;44;Urban;0;0
2876-GZYZC;Female;0;0;0;13;1;1;Fiber optic;0;0;0;0;0;1;Month-to-month;1;Electronic check;8595;121565;0;47;145888;9;39;36;Bronze;18;Suburban;13;0
6207-WIOLX;Female;0;1;1;25;0;No phone service;DSL;1;1;1;0;1;1;Month-to-month;1;Credit card (automatic);586;150265;1;72;144947;2;50;51;Bronze;53;Suburban;13;0
8587-XYZSF;Male;0;0;0;67;1;0;DSL;0;0;0;1;0;0;Two year;0;Bank transfer (automatic);5055;32601;0;166;150880;18;39;5;Gold;50;Urban;23;0
3091-FYHKI;Male;0;0;0;1;0;No phone service;DSL;0;0;0;0;0;1;Month-to-month;1;Electronic check;3545;3545;1;3;84507;16;45;6;Gold;39;Suburban;18;1
2372-HWUHI;Male;0;0;0;2;1;0;DSL;0;0;0;0;0;0;Month-to-month;0;Electronic check;4435;8125;1;11;183134;2;44;96;Gold;52;Urban;37;0
7799-LGRDP;Female;0;0;0;43;1;1;0;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;1;Credit card (automatic);257;11882;0;141;123988;19;34;89;Bronze;51;Suburban;43;1
7850-VWJUU;Female;0;0;0;23;1;0;Fiber optic;1;0;0;0;0;0;Month-to-month;1;Bank transfer (automatic);750;17785;0;93;178421;26;31;11;Bronze;35;Suburban;17;1
3774-VBNXY;Female;0;1;1;64;1;0;0;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;0;Mailed check;202;127775;0;307;227937;18;41;27;Gold;53;Urban;8;0
6217-KDYWC;Male;0;0;1;57;1;0;0;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;1;Mailed check;196;117055;0;196;182591;23;44;83;Gold;20;Urban;51;1
0390-DCFDQ;Female;1;1;0;1;1;0;Fiber optic;0;0;0;0;0;0;Month-to-month;1;Mailed check;7045;7045;1;5;209614;7;50;82;Gold;33;Rural;54;1
3146-MSEGF;Female;1;1;1;72;1;1;DSL;1;1;1;1;1;1;Two year;1;Credit card (automatic);8805;642565;0;421;107213;2;37;28;Platinum;28;Urban;56;1
4080-OGPJL;Female;0;0;0;8;1;1;DSL;1;0;0;1;0;1;Month-to-month;0;Electronic check;7115;56365;1;24;137450;27;48;73;Gold;27;Urban;12;1
1095-WGNGG;Female;0;1;0;61;1;1;Fiber optic;0;1;0;0;1;1;Two year;1;Bank transfer (automatic);10105;597125;0;243;215549;12;38;67;Silver;38;Urban;58;1
2636-SJDOU;Male;0;0;0;64;1;1;Fiber optic;1;1;0;0;0;0;One year;1;Credit card (automatic);843;528905;0;205;142222;23;44;47;Bronze;42;Urban;50;1
1131-QQZEB;Male;1;1;0;71;1;1;0;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;0;Bank transfer (automatic);2395;17562;0;222;217605;22;42;2;Silver;52;Urban;44;1
